INTL_20160512_000001	インスタンスダンジョン、ミッション1回追加入場	인던,미션 1회 추가입장				
INTL_20160512_000002	完璧な翻訳家	완벽한 번역가				
INTL_20160512_000003	完璧な翻訳を提供してくれたユーザーに与えられる称号です。	완변한 번역을 지원해준 유저를 위해 주어지는 칭호입니다.				
INTL_20160512_000004	- 特性スキル2種同時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 5個{nl} - キャラクター移動速度 +3{nl} - ミッション、ダンジョン1回追加入場{nl} - 最大バフ適用数アップ{nl} - プレミアムポーズ使用可能{nl}	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}				
INTL_20160512_000005	トークン:60日	토큰:60일				
INTL_20160512_000006	右クリックで使用すると、サーバー内の全キャラクターに使用時点から60日間特典が適用されます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数 10個{nl} - キャラクター移動速度 +3アップ{nl} - モンスター退治経験値 +20%アップ{nl}(POPOショップ特典、経験の書効果との重複可能){nl} - プレミアムポーズ使用可能{nl} - 最大バフ適用数アップ{nl} - 個人取引60回可能	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능				
INTL_20160512_000007	右クリックで使用すると、アイテムを獲得できます。{nl} - 650 TP{nl} - トークン(60日){nl} - ヘアアクセサリ - ポポリオン人形{nl} - ヘアアクセサリ - ハナミン人形{nl} - ホグランコンパニオン交換券{nl} - ステータス初期化ポーション{nl} - スキル初期化ポーション{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}				
INTL_20160512_000008	使用すると650TPを獲得します。	사용 시 650 TP를 획득합니다.				
INTL_20160512_000009	使用すると380TPを獲得します。	사용 시 380 TP를 획득합니다.				
INTL_20160512_000010	使用すると160TPを獲得します。	사용 시 160 TP를 획득합니다.				
INTL_20160512_000011	右クリックで使用すると、アイテムを獲得できます。{nl} - 380 TP{nl} - トークン (30日){nl} - ヘアアクセサリ - ポポリオン人形{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}				
INTL_20160512_000012	右クリックで使用すると、アイテムを獲得できます。{nl} - 160 TP{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 160 TP{nl}				
INTL_20160512_000013	使用すると50TPを獲得します。使用してキャラクターインベントリから受け取ると、キャンセルできません。	사용 시 50 TP를 획득합니다. 사용하여 캐릭터 인벤토리에서 수령 시 청약철회가 불가능 합니다.				
